编号,标题,链接,内容
17303,NuSTAR Early Observations of SN 2025rbs,https://www.astronomerstelegram.org/?read=17303,"NuSTAR Early Observations of SN 2025rbs

ATel #17303;  Brian Grefenstette (Caltech) on 23 Jul 2025; 16:31 UTCredential Certification: Brian Grefenstette (Bwgref@srl.caltech.edu)

Subjects: Supernovae

We report on early NuSTAR observations of the Type Ia supernova in NGC 7331 (https://www.wis-tns.org/object/2025rbs) at a distance of 14.7 Mpc. We triggered a NuSTAR DDT, which resulted in an observation starting at 2025-07-20T07:36:27 and lasting a day of linear time with an exposure time of roughly 41-ks. This was six days after the classification report (Andrews et al., TNS 21522) and roughly 6 days prior to peak optical emission. 
 
 
We observed diffuse emission in the NuSTAR images in the 3-20 keV band covering the central ~arcmin of the galaxy, including the nominal source position for SN 2025rbs. Inspection of archival NuSTAR images in the same band from 2020 shows the majority of the emission is dominated at that time by a single point source. However, there are a number of potentially variable sources in the Chandra and XMM source catalogs that are spatially coincident with the NuSTAR emission. For example, the nearby Chandra source noted in archival data from Kong et al. (ATEL #17287). 
 
 
We extract a NuSTAR spectrum from a 30-arcsec region centered on the coordinates for SN 2025rbs. We find that the resulting spectra appears to be soft in the 3-20 keV NuSTAR spectra. Fitting both of the FPMA and FPMB modules simultaneously, we find that the resulting source spectra are incompatible with a hard (gamma=1.4) absorbed power-law. Allowing the power-law index to vary results in an unphysically steep index (Gamma>4). If we instead adopt an absorbed diskbb component, we find a reasonably good fit using an unabsorbed disk component with a relatively high temperature (2.4 keV). Either case is likely an incorrect physical model, but provides a reasonable phenomenological fit to the data. The 3-10 keV (absorbed) flux is 2.1 Â± 1.0e-13 ergs / cm2 / sec in the 3-10 keV, which corresponds to a 3-10 keV luminosity of a roughly 5e39 ergs at a distance of 14.7 Mpc. This seems relatively high for a single X-ray binary in NGC 7331, but this may be the superposition of several active transient sources at once that are blended by the ~1-arcmin NuSTAR HPD. We conclude that we cannot positively identify the soft X-ray emission as being associated with SN 2025rbs.  
 
 
We also inspect the NuSTAR images for any evidence of high-energy emission from the supernovae. We do not find evidence for a source in the 40-80 keV images. Net counts (both telescopes) from a 30-arcsec source region centered on the source was 82 counts, while the expectation from the background regions was 84 counts. 25 additional source counts would have been required for a 3-sigma detection. Assuming an average effective area of 20 cm2 in the 40-80 keV (both telescopes combined) results in an upper limit on the source flux of roughly 3e-5 ph / cm2 / sec in this band. 
 
 
We thank the NuSTAR Science Operations team for a speedy scheduling of this observation and encourage additional soft X-ray follow-up observations to attempt to resolve the origin of the soft X-ray emission."
17302,Evidence for Shock Power re-brightening in the SiFAP2 light curves of SN 2023ixf and upper-limits from the Swift satellite,https://www.astronomerstelegram.org/?read=17302,"Evidence for Shock Power re-brightening in the SiFAP2 light curves of SN 2023ixf and upper-limits from the Swift satellite

ATel #17302;  Andrea Simongini (INAF-OAR-UniRoma2), Filippo Ambrosino (INAF-OAR), Fabio Ragosta (UniNa), Silvia Piranomonte (INAF-OAR), Andrea Melandri (INAF-OAR), Giulia Illiano (INAF-OAB), Matteo Imbrogno (ICE-CSIC), Adriano Ghedina (FGG), Massimo Cecconi (FGG), Francesco Leone (Univ. Catania), Manuel Gonzalez (FGG), Hector Perez Ventura (FGG), Marcos Hernandez Diaz (FGG), Jose San Juan (FGG) on 23 Jul 2025; 15:26 UTCredential Certification: Andrea Melandri (andrea.melandri@inaf.it)

Subjects: Optical, Ultra-Violet, Supernovae

We report evidence for a shift in the powering mechanism of the Type II SN 2023ixf, discovered on MJD 60083 in the M101 galaxy at 6.4 Mpc (Perley et al. 2023). We observed the event ~2 years after discovery, at MJD 60797, 60798, 60854 with the Silicon Fast Photometer and Polarimeter (SiFAP2; Meddi et al. 2012, Ghedina et al. 2018) and at MJD 60870, 60877 with the Swift Ultra Violet Optical Telescope (UVOT; Roming et al. 2005).

SiFAP2 clearly detects a point-source at the location of SN 2023ixf in all observed epochs. Photon count rates were converted into V-band magnitudes after background subtraction and calibration using standard curves. We report the following preliminary results:

UVOT does not detect a significant signal at the SN location in the U, B, or V bands. The limited exposure time (1265 s and 1665 s) and high background of the first map, possibly due to a bright transient event during the observations, limit the sensitivity of the UVOT images. A source is marginally detected in the coadded image with B = 18.54 +/- 0.14 and U = 18.76 +/- 0.08, while no detection is found in V > 18.79.

Assuming a radioactive decay-powered light curve, we would expect the magnitude to be under the sensitivity limit of our telescope, at V > 22 mag. However, the observed brightness exceeds this expectation, suggesting an additional energy input is sustaining the luminosity at late times. This deviation is consistent with a transition to interaction-powered emission, likely driven by ongoing ejectaâcircumstellar material (CSM) interaction (Jacobson-GalÃ¡n, W. V. 2025). The photometric evolution between MJD 60798 and MJD 60854 shows no significant fading (dV = â0.18 +/-  0.44 mag), further supporting a flattening of the light curve that is inconsistent with Co-56 decay alone.

Additional Swift-UVOT observations are already scheduled. We encourage further multi-wavelength follow-up observations to monitor the ongoing evolution of the source and to constrain the nature of its late-time emission better."
17298,A glitch in the Crab pulsar (PSR B0531+21),https://www.astronomerstelegram.org/?read=17298,"A glitch in the Crab pulsar (PSR B0531+21)

ATel #17298;  Benjamin Shaw (University of Manchester), Danai Antonopoulou (UoM), Michael J. Keith (UoM), Andrew G. Lyne (UoM), Mitchell B. Mickaliger (UoM), Benjamin W. Stappers (UoM), Patrick Weltevrede (UoM) on 21 Jul 2025; 17:23 UTCredential Certification: Benjamin Shaw (benjamin.shaw@manchester.ac.uk)

Subjects: Radio, Pulsar, Magnetar

We report the detection of a small glitch event in the timing data of the Crab pulsar (PSR B0531+21), which we monitor as part of the Jodrell Bank Pulsar Timing Programme. The Crab pulsar is observed daily with the 42-ft telescope using a 4 MHz wide band centred on 610 MHz. Additional short observations are carried out with the Lovell telescope using a 384 MHz wide band centred on 1532 MHz. This glitch is the 31st such event observed in this pulsar and occurred on 2025 July 17; ~6 years after the previous glitch in 2019. Preliminary analysis indicates a fractional rotational spin-up of dF0/F0 = 2.33(9)E-09 and a fractional change to the spin-down rate of dF1/F1 = 0.43(4)E-03 (1 sigma uncertainties). We currently measure the glitch epoch to be MJD 60873.95(35). At present, we find no evidence of any post-glitch transient behaviour; however we continue our daily monitoring of the pulsar. Observations at other facilities are encouraged in order to confirm the glitch and refine the measured parameters."
17296,Retraction of ATEL 17294:  Visual identification of possible supernova in NGC 7331,https://www.astronomerstelegram.org/?read=17296,"Retraction of ATEL 17294:  Visual identification of possible supernova in NGC 7331

ATel #17296;  Christopher Burns (Carnegie Observatories) on 20 Jul 2025; 12:45 UTCredential Certification: Christopher Burns (cburns@carnegiescience.edu)

Subjects: Optical, Supernovae, Transient

Improved positioning showed that the source seen by eye from ATEL 17294 was, in fact, SN2025rbs discovered by GOTO. 
 
We note the source is rapidly brightening as seen in the ASAS-SN forced photometry server (https://asas-sn.osu.edu/) and is currently g~13.7 mag.  We apologize for any inconvenience."
17294,Visual identification of possible supernova in NGC 7331 (12 Mpc),https://www.astronomerstelegram.org/?read=17294,"Visual identification of possible supernova in NGC 7331 (12 Mpc)

ATel #17294;  Christopher Burns (Carnegie Observatories), Michael Rudy (Mt. Wilson Observatory), David Frey (Mount Wilson Observatory) on 20 Jul 2025; 11:11 UTCredential Certification: Christopher Burns (cburns@carnegiescience.edu)

Subjects: Optical, Supernovae, Transient

Referred to by ATel #:  17296

We report the possible discovery of a supernova in NGC 7331 at a distance of 12 Mpc at UT 2025-07-20 07:30:00 (JD 2460876.81). This was done visually with the 60-inch telescope at Mount Wilson Observatory during one of their public observing sessions. The authors have observed NGC 7331 frequently using both the 60-inch and 100-inch telescopes and immediately recognized a bright point-source approximately 1 arc-minute North of the nucleus not seen previously. Approximate coordinates are 22h37m4s +34d25m55s. Unfortunately, we had no imaging equipment that could be used to determine a more precise position or magnitude. We visually estimate the point-source to be comparable or even brighter than the nucleus (V = 9.5). Observations are requested to verify the transient and determine a proper location and magnitude."
17287,X-ray emission of the progenitor of the Type Ia supernova SN2025rbs,https://www.astronomerstelegram.org/?read=17287,"X-ray emission of the progenitor of the Type Ia supernova SN2025rbs

ATel #17287;  A. K.H. Kong (NTHU), Ruolan Jin (NTTU), C.-Y. Hui (CNU), K.-Y. Au, K.-L. Li, L. C.-C. Lin  (NCKU) on 17 Jul 2025; 14:48 UTCredential Certification: Albert Kong (akong@phys.nthu.edu.tw)

Subjects: X-ray, Supernovae

Referred to by ATel #:  17303

Following the discovery of the Type Ia supernova SN2025rbs in the nearby galaxy NGC 7331 (https://www.wis-tns.org/object/2025rbs), we have searched for X-ray emission of its progenitor with the Chandra Source Catalog (Evans et al. 2024). Based on the 13 Chandra observations of NGC 7331 taken between 2001 and 2020 (242 ks total observing time), an X-ray source in the Chandra Source Catalog, 2CXO J223703.6+342507,  is located at about 0.7 arcsec from the supernovaâs position. The 95% positional uncertainty of the X-ray source is 0.47 arcsec. Given the separation between the X-ray source and the supernova, we tentatively conclude that the X-ray progenitor was not detected.

The X-ray source 2CXO J223703.5+342507 is also in the NGC 7331 X-ray source catalog (Jin and Kong 2019) which is based on a 126 ks stacked Chandra image. It was classified as a low-mass X-ray binary according to the X-ray colours. The X-ray spectrum can be fitted with an absorbed power-law with a photon index of 1.85 and a 0.3-8 keV X-ray luminosity of 4.5e38 erg/s (D=14.7 Mpc). No optical counterpart was found from the Hubble Space Telescope observations.

The X-ray luminosity limit of the progenitor of SN2025rbs can be constrained to approximately 3.6e37 erg/s (0.3-8 keV), based on the X-ray detection threshold reported by Jin & Kong (2019). Further analysis incorporating more recent Chandra observations is currently underway to better constrain the X-ray emission from the progenitor of SN2025rbs."
17286,Spectroscopic Classification of an Optical Transient with the Lick Shane telescope,https://www.astronomerstelegram.org/?read=17286,"Spectroscopic Classification of an Optical Transient with the Lick Shane telescope

ATel #17286;  Kishore C. Patra,  Ryan J. Foley (UCSC) on 14 Jul 2025; 22:45 UTDistributed as an Instant Email Notice SupernovaeCredential Certification: Kishore Patra (kcpatra@ucsc.edu)

Subjects: Optical, Supernovae, Transient

We report the following classification of an optical transient from spectroscopic observations with the Kast spectrograph on the Shane telescope. The target was supplied by ATLAS. Observations were made on 2025 July 03 UT. Classification was performed with SNID (Blondin & Tonry, 2007, ApJ, 666, 1024).

Notes: 
When the redshift is given to 2 decimal places, it is derived from the SN spectrum.  Otherwise, the redshift is determined from the host galaxy.  
(1) The spectrum is highly contaminated by galaxy light.  SNID template fitting was performed after subtracting an SDSS host-galaxy template spectrum. The best-fit match was SN 1991bg at +16 days past peak brightness. The transient exhibits a red color at peak, an absolute B-band magnitude of approximately -18.4 mag, and a fast decline rate of Delta m15 (B) ~ 1.4 mag, all of which support a SN 1991bg-like subclassification."
17277,EP250702a/ GRB 250702B: NuSTAR X-ray Observations,https://www.astronomerstelegram.org/?read=17277,"EP250702a/ GRB 250702B: NuSTAR X-ray Observations

ATel #17277;  Brendan O'Connor (CMU), Dheeraj Pasham (Eureka Scientific/George Washington), Igor Andreoni (UNC), Jeremy Hare (Catholic/GSFC): on 7 Jul 2025; 17:47 UTCredential Certification: Brendan O'Connor (oconnorb@gwmail.gwu.edu)

Subjects: X-ray, Gamma-Ray Burst, Transient, Tidal Disruption Event

We observed the X-ray transient EP250702a (GCN 40906), which is also associated with the multiple gamma-ray triggers designated as GRB 250702B/D/E (GCNs 40883, 40886, 40890, 40891, 40931, 40903, 40914, 40923), with the NuSTAR X-ray Telescope through a Target of Opportunity observation through GO program 11282 (PI: Pasham). The observation occurred between 2025-07-03 20:45:21 and 2025-07-04 09:15:00 UTC for an on-source exposure of ~21.5 ks, simultaneous with Swift/XRT observations (ObsID: 19906002).

The source is clearly detected at an average rate of ~0.4 cts/s. The 3-79 keV X-ray lightcurve shows short term variability throughout the full exposure in both FPMA and FPMB, but no flaring is observed. The source varies in count rate by a factor of 2-3 on timescales as short as a few ks. Compared to NuSTAR observations of GRB 221009A at a similar count rate (GCNs 32695, 32788), the source shows more significant variability, which we suggest disfavors an ultralong GRB origin, especially in conjunction with the July 1st onset reported by the Einstein Probe (GCN 40906).

The X-ray spectra are featureless and do not show any Fe lines or reflection features. This is consistent with the lack of features in the Swift/XRT spectra. The 3-79 keV spectrum (FPMA+FPMB) is well fit by an absorbed powerlaw with a photon index of Gamma~1.81+/-0.03, which is consistent with the initial Swift/XRT spectral index within errors (GCN 40919). The hydrogen column density was fixed to 1e22 cm^-2 as per the best-fit Swift/XRT spectra (see https://www.swift.ac.uk/LSXPS/transients/9377). The unabsorbed 3-79 keV flux (time-averaged) is (2.35+/-0.05)e-11 erg/cm^2/s during our observation.

We also performed a fit with an absorbed cutoff powerlaw and find a cutoff energy >60 keV. In this case, the best-fit photon index is Gamma~1.67+/-0.08. This has better agreement with the EP/FXT result, although the FXT observation was obtained at an earlier time (GCN 40917). The C-stat between both fits to the NuSTAR data was nearly identical and the cutoff powerlaw is not a statistically significant improvement. We suggest that the lack of Fe lines, and lack of cutoff in the powerlaw spectra (out to at least 60 keV), is atypical for an X-ray binary.

We performed a Lomb-Scargle analysis on the barycenter corrected X-ray data, and did not identify any periodic signals over the frequency range 1e-3 to 100 Hz, consistent with the EP/FXT report (GCN 40917). The periodogram becomes red noise dominated below 3e-3 Hz.

Further analysis is underway and additional NuSTAR and Swift observations are planned.

We thank the NuSTAR SOC, and in particular Karl Forster and Brian Grefenstette, for promptly implementing these observations."
17274,Detection of bursts from FRB 20250613A down to 300 MHz with uGMRT,https://www.astronomerstelegram.org/?read=17274,"Detection of bursts from FRB 20250613A down to 300 MHz with uGMRT

ATel #17274;  Yash Bhusare (NCRA -TIFR, India), Yogesh Maan (NCRA - TIFR), Ajay Kumar (NCRA - TIFR), Banshi Lal (NCRA - TIFR), Tarraneh Eftekhari (Northwestern University), and Shami Chatterjee (Cornell University) on 6 Jul 2025; 09:10 UTCredential Certification: Yogesh Maan (maan@astron.nl)

Subjects: Radio, Fast Radio Burst

Using the upgraded Giant Metrewave Radio Telescope (GMRT), we report the detection of 10 bursts from repeating fast radio burst FRB 20250613A that was recently discovered by the ASKAP team (Atel #17257). Observations were carried out from 2:30 to 5:30 UTC at Band 3 (300 - 500 MHz) on 2025 July 02 and at Band 4 (550 - 750 MHz) on 2025 July 03 (2:30 to 5:30 UTC). The on-source time was 86 minutes at Band 3 and 123 minutes at Band 4. Filterbank data were recorded from a phased-array beam and searched using the TransientX pipeline above a S/N threshold of 8 and at a single DM of 174.6 pc cm^-3 (as reported by the ASKAP team; Atel #17257). A more comprehensive search using coherently dedispersed and high time resolution data, over a range of DMs, is currently underway. 
 
 
 
In Band 3 observations, we detected six bursts, with the emission in one of the bursts extending up to the lower edge of the band at 300 MHz. In Band 4 observations, we detected four bursts. Burst signal-to-noise (S/N) ratios range from 8 to 22 at Band 3 and from 11 to 44 at Band 4. Using the measured widths and S/N values from TransientX along with the radiometer equation, the burst fluences range from 0.5 to 2.5 Jy ms. The measured pulse-widths range between 1.5 ms and 22.3 ms. We also measured structure-optimised DMs of 174.72 +/- 0.09 and 174.75 +/- 0.12 pc cm^-3 for the brightest burst detected in Band 4 and Band 3, respectively, using DM_phase. 
 
 
 
Detection of these new bursts shows that the emission from FRB 20250613A extends to frequencies as low as 300 MHz, and confirms continued activity of the source. We encourage further multi-frequency monitoring and especially observations at even lower radio frequencies. 
 
 
 
We thank the observatory for prompt scheduling of our observations and the GMRT staff for their support. The GMRT is operated by the National Centre for Radio Astrophysics of the Tata Institute of Fundamental Research.

Dynamic spectra of a few bursts"
17267,Spectroscopic Classifications of Optical Transients with the Lick Shane telescope,https://www.astronomerstelegram.org/?read=17267,"Spectroscopic Classifications of Optical Transients with the Lick Shane telescope

ATel #17267;  Kishore C. Patra,  Ryan J. Foley (UCSC) on 4 Jul 2025; 06:50 UTDistributed as an Instant Email Notice SupernovaeCredential Certification: Kishore Patra (kcpatra@ucsc.edu)

Subjects: Optical, Supernovae, Transient

We report the following classifications of optical transients from spectroscopic observations with the Kast spectrograph on the Shane telescope. The targets were supplied by Young Supernova Experiment and Zwicky Transient Facility. Observations were made on 2025 July 03 UT. Classifications were performed with SNID (Blondin & Tonry, 2007, ApJ, 666, 1024).

Notes: 
When the redshift is given to 2 decimal places, it is derived from the SN spectrum.  Otherwise, the redshift is determined from the host galaxy.  
(1) We measure Si II 6355 velocity of  -11,000 km/s. 
(2) We measure Si II 6355 velocity of  -9,700 km/s. The redshift was determined using narrow emission lines from the host galaxy."
